"Source:","C:\AA_ECL\EPSA\Saison 2023\Git Cloning\ELIZ-2022\Cartes\TSAL\TSAL\TSAL.kicad_sch"
"Date:","04/12/2022 22:20:06"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","61"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","Render Name","STANDARD","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive"
"","","J2","2P Droit 2-11-2022","EPSA_lib:2P Droit 2-11-2022","EPSA_lib:MOLEX_22-11-2022","","","","","","Molex","10.66mm","","","","","BD8","2P Droit","Manufacturer Recommendations","","22-11-2022","N","","J"
"","","J3","2P Droit 2-11-2022","EPSA_lib:2P Droit 2-11-2022","EPSA_lib:MOLEX_22-11-2022","","","","","","Molex","10.66mm","","","","","BD8","2P Droit","Manufacturer Recommendations","","22-11-2022","N","","J"
"","","J4","3P Droit 22-11-2032","EPSA_lib:3P Droit 22-11-2032","EPSA_lib:MOLEX_22-11-2032","","","","","","Molex","10.66mm","","","","","BD8","3P Droit","Manufacturer recommendations","","22-11-2032","N","","J"
"","","J5","2P Droit 2-11-2022","EPSA_lib:2P Droit 2-11-2022","EPSA_lib:MOLEX_22-11-2022","","","","","","Molex","10.66mm","","","","","BD8","2P Droit","Manufacturer Recommendations","","22-11-2022","N","","J"
"","","J6","2P Droit 2-11-2022","EPSA_lib:2P Droit 2-11-2022","EPSA_lib:MOLEX_22-11-2022","","","","","","Molex","10.66mm","","","","","BD8","2P Droit","Manufacturer Recommendations","","22-11-2022","N","","J"
"","","J7","2P Droit 2-11-2022","EPSA_lib:2P Droit 2-11-2022","EPSA_lib:MOLEX_22-11-2022","","","","","","Molex","10.66mm","","","","","BD8","2P Droit","Manufacturer Recommendations","","22-11-2022","N","","J"
"","","J8","2P Droit 2-11-2022","EPSA_lib:2P Droit 2-11-2022","EPSA_lib:MOLEX_22-11-2022","","","","","","Molex","10.66mm","","","","","BD8","2P Droit","Manufacturer Recommendations","","22-11-2022","N","","J"
"","","J9","2P Droit 2-11-2022",":2P Droit 2-11-2022_1","EPSA_lib:MOLEX_22-11-2022","","","","","","Molex","10.66mm","","","","","BD8","2P Droit","Manufacturer Recommendations","","22-11-2022","N","","J"
"","","J10","2P Droit 2-11-2022","EPSA_lib:2P Droit 2-11-2022","EPSA_lib:MOLEX_22-11-2022","","","","","","Molex","10.66mm","","","","","BD8","2P Droit","Manufacturer Recommendations","","22-11-2022","N","","J"
"","","J11","2P Droit 2-11-2022","EPSA_lib:2P Droit 2-11-2022","EPSA_lib:MOLEX_22-11-2022","","","","","","Molex","10.66mm","","","","","BD8","2P Droit","Manufacturer Recommendations","","22-11-2022","N","","J"
"","","PS1","Alim HP TSR_2-2450","EPSA_lib:Alim HP TSR_2-2450","EPSA_lib:TSR-2","https://tracopower.com/tsr2-datasheet/","","","2 Amp POL switching regulator, 3.0 to -36 VDC input, pos.-pos. circuit, LM78 compatible, SIP-3","","","","Traco Power","TSR 2-2450","495-TSR2-2450","https://www.mouser.co.uk/ProductDetail/TRACO-Power/TSR-2-2450?qs=NtE2QagKf6RzknAolzm%2FTQ%3D%3D","","Alim HP","","","Alim HP TSR_2-2450","N","","R"
"","","Q1","PMOS SI2343CDS-T1-GE3","EPSA_lib:PMOS SI2343CDS-T1-GE3","EPSA_lib:SOT95P237X112-3N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA23/1582493.pdf","SI2343CDS-T1-GE3","https://www.arrow.com/en/products/si2343cds-t1-ge3/vishay","Trans MOSFET P-CH 30V 4.2A 3-Pin Vishay SI2343CDS-T1-GE3 P-channel MOSFET Transistor, 4.7 A, -30 V, 3-Pin TO-236","1.12","","","Vishay","SI2343CDS-T1-GE3","781-SI2343CDS-T1-GE3","https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/SI2343CDS-T1-GE3?qs=WX95TUc1y56rXCTRPp%252BkZQ%3D%3D","","PMOS","","${EPSA}\SpiceModel\PMOS_si2343cds_ps Rev B.lib","Si2343CDS","Y","3,1,2","X"
"","","Q2","NMOS SQ2348ES-T1_GE3","EPSA_lib:NMOS SQ2348ES-T1_GE3","EPSA_lib:SOT95P237X112-3N","http://www.vishay.com/docs/63706/sq2348es.pdf","SQ2348ES-T1_GE3","https://www.arrow.com/en/products/sq2348es-t1-ge3/vishay?region=nac","VISHAY - SQ2348ES-T1_GE3 - MOSFET, AEC-Q101, N-CH, 30V, SOT-23","1.12","","","Vishay","SQ2348ES-T1_GE3","781-SQ2348ES-T1_GE3","https://www.mouser.co.uk/ProductDetail/Vishay-Siliconix/SQ2348ES-T1_GE3?qs=jHkklCh7amgC88blremf%252Bw%3D%3D","","NMOS","","${EPSA}\SpiceModel\NMOS_SQ2348ES_PS Rev A.LIB","SQ2348ES","Y","3,1,2","X"
"","","Q3","PMOS SI2343CDS-T1-GE3","EPSA_lib:PMOS SI2343CDS-T1-GE3","EPSA_lib:SOT95P237X112-3N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA23/1582493.pdf","SI2343CDS-T1-GE3","https://www.arrow.com/en/products/si2343cds-t1-ge3/vishay","Trans MOSFET P-CH 30V 4.2A 3-Pin Vishay SI2343CDS-T1-GE3 P-channel MOSFET Transistor, 4.7 A, -30 V, 3-Pin TO-236","1.12","","","Vishay","SI2343CDS-T1-GE3","781-SI2343CDS-T1-GE3","https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/SI2343CDS-T1-GE3?qs=WX95TUc1y56rXCTRPp%252BkZQ%3D%3D","","PMOS","","${EPSA}\SpiceModel\PMOS_si2343cds_ps Rev B.lib","Si2343CDS","Y","3,1,2","X"
"","","Q4","NMOS SQ2348ES-T1_GE3","EPSA_lib:NMOS SQ2348ES-T1_GE3","EPSA_lib:SOT95P237X112-3N","http://www.vishay.com/docs/63706/sq2348es.pdf","SQ2348ES-T1_GE3","https://www.arrow.com/en/products/sq2348es-t1-ge3/vishay?region=nac","VISHAY - SQ2348ES-T1_GE3 - MOSFET, AEC-Q101, N-CH, 30V, SOT-23","1.12","","","Vishay","SQ2348ES-T1_GE3","781-SQ2348ES-T1_GE3","https://www.mouser.co.uk/ProductDetail/Vishay-Siliconix/SQ2348ES-T1_GE3?qs=jHkklCh7amgC88blremf%252Bw%3D%3D","","NMOS","","${EPSA}\SpiceModel\NMOS_SQ2348ES_PS Rev A.LIB","SQ2348ES","Y","3,1,2","X"
"","","R1","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","100k","Y","","R"
"","","R2","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","50k","Y","","R"
"","","R3","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","5k","N","","R"
"","","R4","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","500k","Y","","R"
"","","R5","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","600k","Y","","R"
"","","R6","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","5k","N","","R"
"","","R7","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","5k","Y","","R"
"","","R8","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","10","Y","","R"
